author_id,name,birth_year,sex,ethnicity,start_date,end_date
4785,AMIRUDIN BIN SHARI,1980.0,male,bumiputera,2022-11-19,
3327,AMRAN BIN AB GHANI,1974.0,male,bumiputera,2008-03-08,2013-04-03
5148,ANDI MUHAMMAD SURYADY BIN BANDY,1981.0,male,bumiputera,2022-11-19,
3558,ANIFAH BIN HAJI AMAN,1954.0,male,bumiputera,2008-03-08,2018-04-07
3324,ANNUAR BIN HAJI MUSA,1956.0,male,bumiputera,2013-05-05,2022-10-10
3849,ANUAR BIN ABD. MANAP,1977.0,male,bumiputera,2013-05-05,2018-04-07
1426,ANWAR BIN IBRAHIM,1952.0,male,bumiputera,2008-03-08,
3978,ANYI NGAU,1958.0,male,bumiputera,2013-05-05,
5081,ARMIZAN BIN MOHD ALI,1976.0,male,bumiputera,2022-11-19,
4340,ARTHUR JOSEPH KURUP,1983.0,male,bumiputera,2018-05-09,
4003,AWANG BIN HASHIM,1964.0,male,bumiputera,2018-05-09,
4317,AWANG HUSAINI BIN SAHARI,1967.0,male,bumiputera,2018-05-09,2022-10-10
3518,AZALINA BINTI DATO' OTHMAN SAID,1964.0,female,bumiputera,2008-03-08,
3409,AZAN BIN ISMAIL,1961.0,male,bumiputera,2008-03-08,2022-10-10
9999995,AZHAR AZIZAN HARUN,1962.0,male,bumiputera,2018-05-09,2022-10-10
3903,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955.0,female,bumiputera,2013-05-05,2022-10-10
4829,AZLI BIN YUSOF,1967.0,male,bumiputera,2022-11-19,
4471,AZMAN BIN NASRUDIN,1972.0,male,bumiputera,2022-11-19,
2289,AZMI BIN KHALID,1941.0,male,bumiputera,2008-03-08,2013-04-03
3492,BAHARUM BIN HAJI MOHAMED,1957.0,male,bumiputera,2008-03-08,2013-04-03
4946,BAKRI BIN JAMALUDDIN,1965.0,male,bumiputera,2022-11-19,
3981,BARU BIAN,1958.0,male,bumiputera,2018-05-09,2022-10-10
1898,BERNARD GILUK DOMPOK,1950.0,male,bumiputera,2008-03-08,2013-04-03
2265,BILLY ABIT JOO,1950.0,male,bumiputera,2008-03-08,2013-04-03
4161,BUDIMAN BIN MOHD ZOHDI,1972.0,male,bumiputera,2013-05-05,2018-04-07
2861,BUNG MOKTAR BIN RADIN,1960.0,male,bumiputera,2008-03-08,
4238,CHA KEE CHIN,1974.0,male,chinese,2018-05-09,
3587,CHAN FOONG HIN,1979.0,male,chinese,2018-05-09,
4000,CHAN MING KAI,1981.0,male,bumiputera,2018-05-09,2022-10-10
4126,CHANG LIH KANG,1980.0,male,chinese,2018-05-09,
3447,CHARLES ANTHONY A/L R. SANTIAGO,1961.0,male,indian,2008-03-08,2022-10-10
4022,CHE ABDULLAH BIN MAT NAWI,1961.0,male,bumiputera,2018-05-09,2022-10-10
3678,CHE MOHAMAD ZULKIFLY BIN JUSOH,1960.0,male,bumiputera,2013-05-05,2018-04-07
3678,CHE MOHAMAD ZULKIFLY BIN JUSOH,1960.0,male,bumiputera,2022-11-19,
3433,CHE ROSLI BIN CHE MAT,1952.0,male,bumiputera,2008-03-08,2018-04-07
3300,CHE UDA BIN CHE NIK,1949.0,male,bumiputera,2008-03-08,2013-04-03
5212,CHIEW CHOON MAN,1991.0,male,chinese,2022-11-19,
2874,CHONG CHIENG JEN,1971.0,male,chinese,2008-03-08,
2661,CHONG ENG,1958.0,female,chinese,2008-03-08,2013-04-03
4674,CHONG ZHEMIN,1985.0,male,chinese,2022-11-19,
1981,CHOR CHEE HEUNG,1955.0,male,chinese,2008-03-08,2013-04-03
2665,CHOW KON YEOW,1958.0,male,chinese,2008-03-08,2013-04-03
2665,CHOW KON YEOW,1958.0,male,chinese,2018-05-09,
4713,CHOW YU HUI,1983.0,male,chinese,2022-11-19,
2550,CHUA SOON BUI,1955.0,female,chinese,2008-03-08,2013-04-03
3493,CHUA TEE YONG,1977.0,male,chinese,2008-03-08,2018-04-07
2789,CHUA TIAN CHANG,1964.0,male,chinese,2008-03-08,2018-04-07
4241,DANYAL BALAGOPAL ABDULLAH,1951.0,male,indian,2018-05-09,2022-10-10
3928,DATU NASRUN BIN DATU MANSUR,1953.0,male,bumiputera,2013-05-05,2018-04-07
20742,DATUK ZAMANI BIN HJ. SULAIMAN,,male,bumiputera,2008-03-08,2013-04-03
3402,DEVAMANY A/L S.KRISHNASAMY,1958.0,male,indian,2008-03-08,2013-04-03
3615,DING KUONG HIING,1955.0,male,chinese,2008-03-08,2013-04-03
3254,DOUGLAS UGGAH EMBAS,1956.0,male,bumiputera,2008-03-08,2018-04-07
3424,DZULKEFLY AHMAD,1956.0,male,bumiputera,2008-03-08,2013-04-03
3424,DZULKEFLY AHMAD,1956.0,male,bumiputera,2018-05-09,
4234,EDDIN SYAZLEE BIN SHITH,1974.0,male,bumiputera,2018-05-09,2022-10-10
5203,EDWIN ANAK BANTA,1965.0,male,bumiputera,2022-11-19,
3544,ENCHIN BIN MAJIMBUN @ ERIC,1950.0,male,bumiputera,2008-03-08,2013-04-03
