ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
12,Perak,P.075 Bagan Datuk,1,BARISAN NASIONAL (BN),13115,1,won,2393,AHMAD ZAHID BIN HAMIDI,1953,male,bumiputera
12,Perak,P.075 Bagan Datuk,2,PARTI KEADILAN RAKYAT (PKR),10423,0,lost,3397,MADHI HASAN,1973,male,bumiputera
12,Perak,P.076 Teluk Intan,1,BARISAN NASIONAL (BN),17016,0,lost,2709,MAH SIEW KEONG,1962,male,bumiputera
12,Perak,P.076 Teluk Intan,2,PARTI TINDAKAN DEMOKRATIK (DAP),18486,1,won,3398,MANOGARAN,1960,male,indian
12,Perak,P.077 Tanjong Malim,1,BARISAN NASIONAL (BN),21016,1,won,3399,ONG KA CHUAN,1955,male,chinese
12,Perak,P.077 Tanjong Malim,2,PARTI KEADILAN RAKYAT (PKR),15594,0,lost,3400,MOHAMAD AZMAN BIN MARJOHAN,1969,male,bumiputera
12,Pahang,P.078 Cameron Highlands,1,PARTI TINDAKAN DEMOKRATIK (DAP),6047,0,lost,3401,J. APALASAMY,1951,male,indian
12,Pahang,P.078 Cameron Highlands,2,BARISAN NASIONAL (BN),9164,1,won,3402,S.K. DEVAMANY,1958,male,indian
12,Pahang,P.079 Lipis,1,BARISAN NASIONAL (BN),12611,1,won,3403,SHAHRUM OSMAN,1954,male,bumiputera
12,Pahang,P.079 Lipis,2,PARTI ISLAM SE MALAYSIA (PAS),8474,0,lost,3404,MOHAMED NILAM,1969,male,bumiputera
12,Pahang,P.080 Raub,1,PARTI TINDAKAN DEMOKRATIK (DAP),15326,0,lost,3405,ABU BAKAR BIN LEBAI SUDIN,1942,male,bumiputera
12,Pahang,P.080 Raub,2,BARISAN NASIONAL (BN),18078,1,won,3406,NG YEN YEN,1947,female,chinese
12,Pahang,P.081 Jerantut,1,PARTI ISLAM SE MALAYSIA (PAS),17597,0,lost,3407,HAMZAH,1966,male,bumiputera
12,Pahang,P.081 Jerantut,2,BARISAN NASIONAL (BN),19543,1,won,2411,TENGKU AZLAN IBNI SULTAN ABU BAKAR,1950,male,bumiputera
12,Pahang,P.082 Indera Mahkota,1,BARISAN NASIONAL (BN),18796,0,lost,3408,SALAMON ALI RIZAL BIN ABDUL RAHMAN,1968,male,bumiputera
12,Pahang,P.082 Indera Mahkota,2,PARTI KEADILAN RAKYAT (PKR),19823,1,won,3409,AZMAN ISMAIL,1961,male,bumiputera
