kod_kawasan,kawasan,nama,parti,negeri,vol
P050,Ipoh,D. R. Seenivasagam,PPP,Perak,2
P051,Menglembu,S. P. Seenivasagam,PPP,Perak,2
P052,Batu Gajah,Ng Fah Yam,Perikatan (MCA),Perak,2
P053,Kampar,Toh Theam Hock,Perikatan (MCA),Perak,2
P054,Hilir Perak,Othman Abdullah,Perikatan (UMNO),Perak,2
P055,Telok Anson,Ng Kam Poh,Perikatan (MCA),Perak,2
P056,Bagan Datoh,Sulaiman Bulon,Perikatan (UMNO),Perak,2
P057,Batang Padang,Abdul Hamid Khan,Perikatan (UMNO),Perak,2
P058,Tanjong Malim,Lee Seck Fun,Perikatan (MCA),Perak,2
P059,Raub,Hamzah Abu Samah,Perikatan (UMNO),Pahang,2
P059,Raub,Hussein Hassan,Perikatan (UMNO),Pahang,2
P060,Bentong,Chan Siang Sun,Perikatan (MCA),Pahang,2
P061,Kuantan,Mohamed Taib,Perikatan (UMNO),Pahang,2
P061,Kuantan,Abdul Rahman Talib,Perikatan (UMNO),Pahang,2
P062,Pekan,Abdul Razak Hussein,Perikatan (UMNO),Pahang,2
P063,Temerloh,Mohamed Yusof Mahmud,Perikatan (UMNO),Pahang,2
P064,Lipis,Abdul Razak Hussin,Perikatan (UMNO),Pahang,2
P065,Kuala Selangor,Raja Rome Raja Ma'amor,Perikatan (UMNO),Selangor,2
P066,Batu,Tan Chee Khoon,BS (Buruh),Selangor,2
P067,Kapar,Hamzah Alang,Perikatan (UMNO),Selangor,2
P068,Rawang,Tunku Abdullah Tuanku Abdul Rahman,Perikatan (UMNO),Selangor,2
P069,Langat,Zakaria Mohd Taib,Perikatan (UMNO),Selangor,2
P070,Setapak,Chan Seong Yoon,Perikatan (MCA),Selangor,2
P071,Bungsar,Devan Nair,DAP,Selangor,2
P071,Bungsar,Devan Nair,PETIR,Selangor,2
P072,Bukit Bintang,Tan Toh Hong,Perikatan (MCA),Selangor,2
P073,Damansara,Michael Chen Wing Sum,Perikatan (MCA),Selangor,2
P074,Klang,V. Manickavasagam,Perikatan (MIC),Selangor,2
P075,Kuala Langat,Mohd. Tahir Abdul Majid,Perikatan (UMNO),Selangor,2
P076,Sepang,Lee Siok Yew,Perikatan (MCA),Selangor,2
P077,Sabak Bernam,Mustapha Abdul Jabar,Perikatan (UMNO),Selangor,2
P078,Ulu Selangor,Khaw Kai Boh,Perikatan (MCA),Selangor,2
P079,Kuala Pilah,Bahaman Samsudin,Perikatan (UMNO),Negeri Sembilan,2
P080,Seremban Timor,Quek Kai Dong,Perikatan (MCA),Negeri Sembilan,2
P081,Rembau-Tampin,Redza Mohd Said,Perikatan (UMNO),Negeri Sembilan,2
P082,Port Dickson,T. Mahima Singh,Perikatan (MIC),Negeri Sembilan,2
P083,Jelebu-Jempol,Mohamed Idris Matsil,Perikatan (UMNO),Negeri Sembilan,2
P084,Seremban Barat,Siow Loong Hin,Perikatan (MCA),Negeri Sembilan,2
P085,Malacca Tengah,Tan Siew Sin,Perikatan (MCA),Melaka,2
P086,Bandar Malacca,Tan Kee Gak,Perikatan (MCA),Melaka,2
P087,Malacca Utara,Abdul Ghani Ishak,Perikatan (UMNO),Melaka,2
P088,Malacca Selatan,Abdul Karim Abu,Perikatan (UMNO),Melaka,2
P089,Muar Dalam,Aziz Ishak,Perikatan (UMNO),Johor,2
P090,Segamat Selatan,Lee San Choon,Perikatan (MCA),Johor,2
P091,Muar Pantai,Seah Teng Ngiab,Perikatan (MCA),Johor,2
P092,Muar Selatan,Awang Hassan,Perikatan (UMNO),Johor,2
P093,Batu Pahat,Soh Ah Teck,Perikatan (MCA),Johor,2
P094,Batu Pahat Dalam,Syed Esa Alwee (Deputy Speaker),Perikatan (UMNO),Johor,2
