vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
2,,,Sungai Patani,Tuan,Mohd. Zahir Bin Haji Ismail,,male,bumiputera,,,,
2,,,Kemaman,Tuan,Wan Mokhtar Bin Ahmad,,male,bumiputera,,,,
2,,,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,,,,
2,,,Pasir Mas Hilir,Tuan,Muhammad Fakhruddin Bin Haji Abdullah,,male,bumiputera,,,,
2,,,Sarawak,Tuan Haji,Muhammad Su'aut Bin Haji Muhd. Tahir,,male,bumiputera,,,,
2,,,Sabak Bernam,Dato' Haji,Mustapha Bin Haji Abdul Jabar,,male,bumiputera,,,,
2,,,Tanah Merah,Tuan,Mustapha Bin Ahmad,,male,bumiputera,,,,
2,,,Kota Bharu Hilir,Dato',Nik Ahmad Kamil,,male,bumiputera,,,,
2,,,Batu Gajah,Tuan,Ng Fah Yam,,male,chinese,,,,
2,,,Telok Anson,Dr.,Ng Kam Poh,,male,chinese,,,,
2,,,Sarawak,Tuan,Ong Kee Hui,,male,chinese,,,,
2,,,Hilir Perak,Tuan Haji,Othman Bin Abdullah,,male,bumiputera,,,,
2,,,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
2,,,Sarawak,,Abang Othman Bin Haji Moasili,,male,bumiputera,,,,
2,,,Singapore,Tuan,Ong Pang Boon,,male,chinese,,,,
2,,,Singapore,Tuan,Othman Bin Wok,,male,bumiputera,,,,
2,,,Seremban Timur,Tuan,Quek Kai Dong,,male,chinese,,,,
2,,,Johor Bharu Barat,Tuan Haji,Rahmat Bin Haji Daud,,male,bumiputera,,,,
2,,,Krian Darat,Tuan,Ramli Bin Omar,,male,bumiputera,,,,
2,,,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,,,,
2,,,Kuala Selangor,,Raja Rome Bin Raja Ma'amor,,male,bumiputera,,,,
2,,,Sarawak,Tuan,Sandom Anak Nyuak,,male,bumiputera,,,,
2,,,Muar Pantai,Tuan,Seah Teng Ngiab,,male,chinese,,,,
2,,,Ipoh,Tuan,D. R. Seenivasagam,,male,indian,,,,
2,,,Menglembu,Tuan,S. P. Seenivasagam,,male,indian,,,,
2,,,Sarawak,Tuan,Sim Boon Liang,,male,chinese,,,,
2,,,Seremban Barat,Tuan,Siow Loong Hin,,male,chinese,,,,
2,,,Sarawak,Tuan,Sng Chin Joo,,male,chinese,,,,
2,,,Batu Pahat,Tuan,Soh Ah Teck,,male,chinese,,,,
2,,,Sabah,Datu,Donald Aloysius Stephens,,male,,,,,
2,,,Dungun,Tuan,Suleiman Bin Ali,,male,bumiputera,,,,
2,,,Singapore,Tuan,S. Rajaratham,,male,indian,,,,
