vol,name,birth_year,sex,ethnicity,parti,negeri,kawasan,kod_kawasan,jawatan_kabinet,jawatan_parlimen,uid,author_id,new_uid
15,WEE KA SIONG,1968.0,male,chinese,BN,Johor,Ayer Hitam,P148,,,3502.0,21247,3502
15,WETROM BIN BAHANDA,1970.0,male,bumiputera,KDM,Sabah,Kota Marudu,P168,,,5052.0,21248,5052
12,WILFRED MOJILIP BUMBURING,1952.0,male,bumiputera,BEBAS,Sabah,Tuaran,P170,,,3541.0,21249,3541
13,WILLIAM @ NYALLAU ANAK BADAK,1951.0,male,bumiputera,BN - PRS,Sarawak,Lubok Antu,P203,,,3609.0,21250,3609
12,WILLIAM @ NYALLAU BADAK,1951.0,male,bumiputera,BN - PRS,Sarawak,Lubok Antu,P203,,,3609.0,21250,3609
12,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PKR,Selangor,Selayang,P097,,,3427.0,21251,3427
13,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PKR,Selangor,Selayang,P097,,,3427.0,21251,3427
14,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PH - PKR,Selangor,SELAYANG,P097,,,3427.0,21251,3427
15,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PH,Selangor,Selayang,P097,,,3427.0,21251,3427
13,WILLIAM MAWAN IKOM,1950.0,male,bumiputera,BN,Sarawak,Saratok,P205,,,2254.0,21252,2254
14,WILLIE ANAK MONGIN,1976.0,male,bumiputera,PH - PKR > BERSATU,Sarawak,PUNCAK BORNEO,P198,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,3949.0,21231,3949
15,WILLIE ANAK MONGIN,1975.0,male,bumiputera,GPS,Sarawak,Puncak Borneo,P198,,,5162.0,21231,3949
13,WILSON UGAK ANAK KUMBONG,1962.0,male,bumiputera,BN - PRS,Sarawak,Hulu Rajang,P216,,,3974.0,21253,3974
14,WILSON UGAK ANAK KUMBONG,1962.0,male,bumiputera,GPS - PRS,Sarawak,HULU RAJANG,P216,,,3974.0,21253,3974
13,WONG CHEN,1969.0,male,chinese,PKR,Selangor,Kelana Jaya,P104,,,3786.0,21254,3786
14,WONG CHEN,1969.0,male,chinese,PH - PKR,Selangor,SUBANG,P104,,,3786.0,21254,3786
15,WONG CHEN,1969.0,male,chinese,PH,Selangor,Subang,P104,,,3786.0,21254,3786
12,WONG HO LENG,1960.0,male,chinese,DAP,Sarawak,Sibu,P212,,,1965.0,21255,1965
14,WONG HON WAI,1973.0,male,chinese,PH - DAP,Pulau Pinang,BUKIT BENDERA,P048,,,4072.0,21232,4072
14,WONG KAH WOH,1980.0,male,chinese,PH - DAP,Perak,IPOH TIMUR,P064,,,4105.0,21233,4105
15,WONG KAH WOH,1980.0,male,chinese,PH,Perak,Taiping,P060,Timbalan Menteri Pendidikan,,4105.0,21233,4105
13,WONG LING BIU,1959.0,male,chinese,DAP,Sarawak,Sarikei,P208,,,3962.0,21256,3962
14,WONG LING BIU,1959.0,male,chinese,PH - DAP,Sarawak,SARIKEI,P208,,,3962.0,21256,3962
14,WONG SHU QI,1983.0,female,bumiputera,PH - DAP,Johor,KLUANG,P152,,,4278.0,21234,4278
15,WONG SHU QI,1983.0,female,bumiputera,PH,Johor,Kluang,P152,,,4278.0,21234,4278
13,WONG SZE PHIN @ JIMMY,1950.0,male,chinese,DAP,Sabah,Kota Kinabalu,P172,,,3894.0,21257,3894
14,WONG TACK,1959.0,male,chinese,PH - DAP,Pahang,BENTONG,P089,,,3763.0,21235,3763
13,WONG TIEN FATT @ WONG NYUK FOH,1955.0,male,chinese,DAP,Sabah,Sandakan,P186,,,3924.0,21258,3924
14,WONG TIEN FATT @ WONG NYUK FOH,1955.0,male,chinese,PH - DAP,Sabah,SANDAKAN,P186,,,3924.0,21258,3924
14,XAVIER JAYAKUMAR A/L ARULANANDAM,1953.0,male,indian,PH - PKR > BEBAS,Selangor,KUALA LANGAT,P112,,,4200.0,21259,4200
13,YAHAYA BIN MAT GHANI @ ABBAS,,male,bumiputera,BN - UMNO,TIADA,,,TIADA,TIADA,,21263,21263
14,YAMANI HAFEZ BIN MUSA,1978.0,male,bumiputera,BN - UMNO > BERSATU,Sabah,SIPITANG,P178,Timbalan Menteri Kewangan II,,4325.0,21260,4325
14,YEO BEE YIN,1983.0,female,chinese,PH - DAP,Johor,BAKRI,P145,,,4263.0,21261,4263
15,YEO BEE YIN,1983.0,female,chinese,PH,Selangor,Puchong,P103,,,4263.0,21261,4263
12,YONG KHOON HIAN @ YONG KHOON SENG,1942.0,male,chinese,BN - SUPP,Sarawak,Stampin,P196,Timbalan Menteri Kerja Raya,,2232.0,21264,2232
13,YONG WUI CHUNG,,male,chinese,BN - LDP,TIADA,,,TIADA,TIADA,,21265,21265
15,YOUNG SYEFURA BINTI OTHMAN,1989.0,female,bumiputera,PH,Pahang,Bentong,P089,,,4749.0,21266,4749
15,YUNESWARAN A/L RAMARAJ,1986.0,male,indian,PH,Johor,Segamat,P140,,,4962.0,21267,4962
12,YUNUS BIN HAJI KURUS,,male,bumiputera,BN - UMNO,TIADA,,,TIADA,TIADA,,21268,21268
12,YUSSOF BIN HAJI MAHAL,1958.0,male,bumiputera,BN - UMNO,WP Labuan,Labuan,P166,,,3530.0,21269,3530
14,YUSUF BIN ABD WAHAB,1964.0,male,bumiputera,GPS - PBB,Sarawak,TANJONG MANIS,P206,,,4385.0,21262,4385
15,YUSUF BIN ABD WAHAB,1964.0,male,bumiputera,GPS,Sarawak,Tanjong Manis,P206,,,5187.0,21262,4385
15,ZAHARI BIN KECHIK,1960.0,male,bumiputera,BEBAS,Kelantan,Jeli,P030,,,4532.0,21273,4532
13,ZAHARI BIN SARIP,,male,bumiputera,BN - UMNO,Johor,,,TIADA,TIADA,,21272,21272
13,ZAHIDI BIN ZAINUL ABIDIN,1961.0,male,bumiputera,BN - UMNO,Perlis,Padang Besar,P001,,,3630.0,21274,3630
14,ZAHIDI BIN ZAINUL ABIDIN,1961.0,male,bumiputera,BN - UMNO,Perlis,PADANG BESAR,P001,Timbalan Menteri Komunikasi dan Multimedia,,3630.0,21274,3630
15,ZAHIR BIN HASSAN,1959.0,male,bumiputera,PH,Kuala Lumpur,Wangsa Maju,P116,,,4876.0,21275,4876
12,ZAHRAIN MOHAMED HASHIM,1956.0,male,bumiputera,PKR > BEBAS,Pulau Pinang,Bayan Baru,P052,,,3364.0,21276,3364
13,ZAIEDI BIN HAJI SUHAILI,,male,bumiputera,BN - PBB,Sarawak,,,TIADA,TIADA,,21277,21277
13,ZAINUDIN BIN ISMAIL,1960.0,male,bumiputera,BN - UMNO,Negeri Sembilan,Jelebu,P126,,,3827.0,21278,3827
13,ZAIRIL KHIR JOHARI,1983.0,male,bumiputera,DAP,Pulau Pinang,Bukit Bendera,P048,,,3706.0,21279,3706
12,ZAITUN BINTI MAT AMIN,,female,bumiputera,BN - UMNO,Terengganu,,,TIADA,TIADA,,21280,21280
14,ZAKARIA BIN MOHD. EDRIS,1951.0,male,bumiputera,BN - UMNO > BERSATU,Sabah,LIBARAN,P184,,,4347.0,21270,4347
15,ZAKRI BIN HASSAN,1965.0,male,bumiputera,PN,Perlis,Kangar,P002,,,4413.0,21281,4413
15,ZALIHA BINTI MUSTAFA,1964.0,female,bumiputera,PH,Johor,Sekijang,P141,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan),,4967.0,21282,4967
15,ZAMBRY BIN ABDUL KADIR,,male,bumiputera,UMNO,TIADA,,,Menteri Pendidikan Tinggi,Ahli Dewan Negara,,21283,21283
12,ZULHASNAN BIN RAFIQUE,1955.0,male,bumiputera,BN - UMNO,WP Kuala Lumpur,Setiawangsa,P118,,,3457.0,21284,3457
15,ZULKAFPERI BIN HANAPI,1959.0,male,bumiputera,BEBAS,Selangor,Tanjong Karang,P095,,,4773.0,21285,4773
15,ZULKIFLI BIN HASAN,,male,bumiputera,PROFESIONAL,TIADA,,,Timbalan Menteri Agama,Ahli Dewan Negara,,21287,21287
15,ZULKIFLI BIN ISMAIL,1966.0,male,bumiputera,PN,Melaka,Jasin,P139,,,4959.0,21288,4959
12,ZULKIFLI BIN NOORDIN,1962.0,male,bumiputera,PKR > BEBAS,Kedah,Kulim-Bandar Baharu,P018,,,3309.0,21289,3309
14,ZULKIFLI MOHAMAD AL-BAKRI,,male,bumiputera,TIADA,TIADA,,,TIADA,TIADA,,21286,21286
14,ZULPURI SHAH BIN RAJA PUJI,1965.0,male,bumiputera,PH - DAP,Pahang,RAUB,P080,,,4133.0,21271,4133
12,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera,PKR,Selangor,Ampang,P099,,,3431.0,21290,3431
13,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera,PKR,Selangor,Ampang,P099,,,3431.0,21290,3431
14,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera,PH - PKR > BERSATU,Selangor,AMPANG,P099,Menteri Perusahaan Perladangan dan Komoditi,,3431.0,21290,3431
14,ZURAINAH BINTI MUSA,,female,bumiputera,BN - UMNO,TIADA,,,TIADA,Ahli Dewan Negara,,21291,21291
