vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,new_key,birth_year
13,P147,Johor,Parit Sulong,3501,YB Dato' Dr.,Noraini binti Ahmad,1968.0,female,bumiputera,BN - UMNO,,Ahli Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2013/P147.jpg,197,1967
14,P147,Johor,PARIT SULONG,3501,YB DATUK SERI DR.,NORAINI BINTI AHMAD,1968.0,female,bumiputera,BN - UMNO,Menteri Pengajian Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.147-PARIT SULONG.png,197,1967
15,P147,Johor,Parit Sulong,3501,YB Datuk Seri Dr.,Noraini binti Ahmad,1967.0,female,bumiputera,BN,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P147.png,197,1967
12,P148,Johor,Ayer Hitam,3502,Y.B. Datuk Ir. Dr.,Wee Ka Siong,1969.0,male,chinese,BN - MCA,Timbalan Menteri Pelajaran,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P148-AIRHITAM1.jpg,198,1968
13,P148,Johor,Ayer Hitam,3502,YB Datuk Seri Ir. Dr.,Wee Ka Siong,1969.0,male,chinese,BN - MCA,Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/wee ka siong.jpg,198,1968
14,P148,Johor,AYER HITAM,3502,YB DATUK SERI IR. DR.,WEE KA SIONG,1969.0,male,chinese,BN - MCA,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.148-AYER HITAM.png,198,1968
15,P148,Johor,Ayer Hitam,3502,YB Datuk Seri Ir. Dr.,Wee Ka Siong,1968.0,male,chinese,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P148.png,198,1968
12,P149,Johor,Sri Gading,3505,Y.B. Datuk Haji,Mohamad bin Haji Aziz,1941.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P149-SRIGADING.jpg,199,1941
12,P150,Johor,Batu Pahat,3506,Y.B. Dr. Haji,Mohd Puad bin Zarkashi,1958.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pelajaran,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P150-BATUPAHAT.jpg,200,1958
12,P151,Johor,Simpang Renggam,3507,Y.B. Tuan,Liang Teck Meng,1972.0,male,chinese,BN - GERAKAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P151-SPGRENGGAM.jpg,201,1972
