vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15,P185,Sabah,Batu Sapi,5127,YB Tuan,Khairul Firdaus bin Akbar Khan,1983,male,bumiputera,GRS,"Timbalan Menteri Pelancongan, Seni dan Budaya",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P185.png
14,P186,Sabah,SANDAKAN,5131,YB PUAN,VIVIAN WONG SHIR YEE,1989,female,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2019/YB Sandakan.jpg
15,P186,Sabah,Sandakan,5131,YB Puan,Vivian Wong Shir Yee,1989,female,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P186.png
15,P187,Sabah,Kinabatangan,5135,YB Datuk Seri Panglima,Moktar bin Radin,1959,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P187.png
15,P188,Sabah,Lahad Datu,5137,YB Dato',Mohammad Yusof bin Apdal,1960,male,bumiputera,WARISAN,"Timbalan Menteri Sains, Teknologi dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P188.png
15,P190,Sabah,Tawau,5146,YB Tuan,Lo Su Fui,1981,male,chinese,GRS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P190.jpg
15,P191,Sabah,Kalabakan,5148,YB Datuk,Andi Muhammad Suryady bin Bandy,1981,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P191.jpg
15,P192,Sarawak,Mas Gading,5153,YB Tuan,Mordi anak Bimol,1985,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P192.png
15,P194,Sarawak,Petra Jaya,5155,YAB Dato' Sri Haji,Fadillah bin Haji Yusof,1962,male,bumiputera,GPS,Timbalan Perdana Menteri dan Menteri Peralihan Tenaga dan Transformasi Air,Timbalan Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/P194.jpg
15,P197,Sarawak,Kota Samarahan,5160,YB Datuk Hajah,Rubiah binti Wang,1968,female,bumiputera,GPS,Timbalan Menteri Kemajuan Desa dan Wilayah,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P197.jpg
15,P198,Sarawak,Puncak Borneo,5162,YB Datuk,Willie anak Mongin,1975,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P198.jpg
15,P199,Sarawak,Serian,5166,YB Dato' Sri Dr.,Richard Riot anak Jaem,1951,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P199.jpg
15,P200,Sarawak,Batang Sadong,5169,YB Puan,Rodiyah binti Sapiee,1978,female,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P200.jpg
15,P201,Sarawak,Batang Lupar,5171,YB Tuan,Mohamad Shafizan Haji Kepli,1985,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P201.jpg
15,P202,Sarawak,Sri Aman,5173,YB Dato' Sri,Doris Sophia anak Brodi,1960,female,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P202 Doris.jpg
15,P203,Sarawak,Lubok Antu,5179,YB Tuan,Roy Angau anak Gingkoi,1979,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P203.jpg
15,P204,Sarawak,Betong,5183,YB Dr.,Richard Rapu @ Aman anak Begri,1964,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P204.jpg
15,P205,Sarawak,Saratok,5185,YB Datuk,Ali anak Biju,1968,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P205.png
15,P206,Sarawak,Tanjong Manis,5187,YB Tuan Ir. Haji,Yusuf bin Abd Wahab,1964,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P206.jpg
15,P214,Sarawak,Selangau,5203,YB Tuan,Edwin anak Banta,1965,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P214.jpg
15,P219,Sarawak,Miri,5212,YB Tuan,Chiew Choon Man,1991,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P219.jpg
13,P180,Sabah,Keningau,7897,YB Tan Sri Datuk Seri Panglima,Joseph Pairin Kitingan,1948,male,bumiputera,BN - PBS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P180.jpg
13,P180,Sabah,Keningau,7897,YB Tan Sri Datuk Seri Panglima,Joseph Pairin Kitingan,1941,male,bumiputera,BN - PBS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P180.jpg
14,P037,Terengganu,MARANG,17049,YB TAN SRI HAJI,ABDUL HADI BIN HAJI AWANG,1948,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.037-MARANG.png
12,P059,Perak,Bukit Gantang,9999990,Y.B. Dato' Seri Ir.,Mohammad Nizar bin Jamaluddin,1960,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P059-BKTGANTG-nizar.jpg
12,,,,9999991,Tan Sri Datuk Seri Panglima,Pandikar Amin Haji Mulia,1955,male,bumiputera,,,YANG DIPERTUA DEWAN RAKYAT,https://www.parlimen.gov.my/images/webuser/ahli/2010/ydp.jpg
13,,,,9999991,Tan Sri Datuk Seri Panglima,Pandikar Amin Haji Mulia,1955,male,bumiputera,,,Yang Dipertua Deqan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2010/ydp.jpg
12,,,,9999992,Datuk,Roosme Hamzah,,female,bumiputera,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2010/stu-dr.jpg
13,,,,9999992,Datuk,Roosme Hamzah,,female,bumiputera,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2010/stu-dr.jpg
14,,,,9999993,DR.,NIZAM MYDIN BIN BACHA MYDIN,1975,male,bumiputera,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2019/Nizam_Bacha.jpg
15,,,,9999993,Dr.,Nizam Mydin bin Bacha Mydin,1975,male,bumiputera,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/Dr Nizam v2.jpg
14,P078,Pahang,CAMERON HIGHLANDS,9999994,YB DATO',RAMLI BIN DATO' MOHD NOR,1958,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2019/YB Cameron Highland.png
14,,,,9999995,YB TAN SRI,AZHAR AZIZAN HARUN,1962,male,bumiputera,,,Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2020/bbb.jpg
12,P119,WP Kuala Lumpur,Titiwangsa,9999999,,,,,,PAS,,,
