author_id,vol,nama,gelaran,parti,lantikan,negeri,kawasan,kod_kawasan,tahun_lahir,jantina,kumpulan_etnik,jawatan_kabinet,jawatan_parlimen,penggal,tempoh,tempoh_mula,tempoh_tamat
224,11,Hamzah Zainudin,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,2003-09-17,2006-09-16
225,13,Hanafi Bin Haji Mamat,YB Senator Datuk Sr. Haji,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,M,bumiputera,TIADA,Ahli Dewan Negara,,07.12.2016 - 06.12.2019,2016-12-07,2019-12-06
226,8,Hanipah Ahmad,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perlis,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1993-04-19,1996-04-18
227,10,Haris Salleh,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Johor,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
228,6,Harun Hassan,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1985-07-29,1988-07-28
228,7,Harun Hassan,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1985-07-29,1988-07-28
229,1,Hashim Awang,TIADA,Perikatan - UMNO,Dipilih oleh Dewan Undangan Negeri,Pulau Pinang,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1959-09-11,1962-09-10
230,9,Hashim Safin @ Shafin,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1997-05-12,2000-05-11
231,5,Hasnah Fatimah Mohd Kasim,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
231,6,Hasnah Fatimah Mohd Kasim,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-01-10,1987-01-09
231,7,Hasnah Fatimah Mohd Kasim,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-01-10,1987-01-09
232,7,Hassan Alban Sandukong,TIADA,TIADA,Dipilih oleh Dewan Undangan Negeri,Sabah,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1986-12-15,1989-12-14
228,7,Hassan Harun,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Kelantan,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1988-03-28,1991-03-27
228,8,Hassan Harun,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Kelantan,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1988-03-28,1991-03-27
233,6,Hassan Nam,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-04-09,1987-04-08
233,7,Hassan Nam,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-04-09,1987-04-08
233,7,Hassan Nam,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1987-03-23,1990-03-22
234,10,Hassan Shukri,TIADA,PAS,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1999-12-27,2002-12-26
234,11,Hassan Shukri,TIADA,PAS,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1999-12-27,2002-12-26
235,3,Hassan Yaakub,TIADA,Perikatan - UMNO,Dipilih oleh Dewan Undangan Negeri,Melaka,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1971-08-02,1977-08-01
236,11,Hazizah Mohd Sultan,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Malacca,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1999-12-27,2002-12-26
